/home/wangsh/DBALwithImgData-main/main.py:10: DeprecationWarning: Please use `gaussian_filter1d` from the `scipy.ndimage` namespace, the `scipy.ndimage.filters` namespace is deprecated.
  from scipy.ndimage.filters import gaussian_filter1d
Using device: cuda:0
Dataset is unwei_ASL_MNIST
DataLoader :  <load_data.LoadASLData object at 0x148b167c6dc0>
test Accuracy after query 130: 0.9314
Val Accuracy after query 135: 1.0000
test Accuracy after query 135: 0.9286
Val Accuracy after query 140: 1.0000
test Accuracy after query 140: 0.9398
Val Accuracy after query 145: 1.0000
test Accuracy after query 145: 0.9384
Val Accuracy after query 150: 1.0000
test Accuracy after query 150: 0.9368
********** Test Accuracy per experiment: 0.9368 **********
********** Experiment 3 (bald-MC_dropout=True): 0:27:5 **********
Average Test score for bald-MC_dropout=True: 0.9436666666666667
Saved: result_npy/bald-MC_dropout=Trueunwei_ASL_MNIST.npy

---------- Start var_ratios-MC_dropout=True training! ----------
********** Experiment Iterations: 1/3 **********
X_init.shape:  (48, 1, 28, 28)
y_init.shape:  (48,)
Val Accuracy after query 5: 0.3800
test Accuracy after query 5: 0.4480
Val Accuracy after query 10: 0.5100
test Accuracy after query 10: 0.4846
Val Accuracy after query 15: 0.5600
test Accuracy after query 15: 0.5670
Val Accuracy after query 20: 0.6400
test Accuracy after query 20: 0.6334
Val Accuracy after query 25: 0.7100
test Accuracy after query 25: 0.6838
Val Accuracy after query 30: 0.7600
test Accuracy after query 30: 0.7056
Val Accuracy after query 35: 0.8500
test Accuracy after query 35: 0.7396
Val Accuracy after query 40: 0.8400
test Accuracy after query 40: 0.7884
Val Accuracy after query 45: 0.8800
test Accuracy after query 45: 0.7956
Val Accuracy after query 50: 0.9100
test Accuracy after query 50: 0.8058
Val Accuracy after query 55: 0.9400
test Accuracy after query 55: 0.8554
Val Accuracy after query 60: 0.9600
test Accuracy after query 60: 0.8758
Val Accuracy after query 65: 0.9800
test Accuracy after query 65: 0.8964
Val Accuracy after query 70: 1.0000
test Accuracy after query 70: 0.9118
Val Accuracy after query 75: 1.0000
test Accuracy after query 75: 0.9284
Val Accuracy after query 80: 1.0000
test Accuracy after query 80: 0.9232
Val Accuracy after query 85: 1.0000
test Accuracy after query 85: 0.9280
Val Accuracy after query 90: 1.0000
test Accuracy after query 90: 0.9334
Val Accuracy after query 95: 1.0000
test Accuracy after query 95: 0.9354
Val Accuracy after query 100: 1.0000
test Accuracy after query 100: 0.9346
Val Accuracy after query 105: 1.0000
test Accuracy after query 105: 0.9202
Val Accuracy after query 110: 1.0000
test Accuracy after query 110: 0.9400
Val Accuracy after query 115: 1.0000
test Accuracy after query 115: 0.9316
Val Accuracy after query 120: 1.0000
test Accuracy after query 120: 0.9304
Val Accuracy after query 125: 1.0000
test Accuracy after query 125: 0.9464
Val Accuracy after query 130: 1.0000
test Accuracy after query 130: 0.9366
Val Accuracy after query 135: 1.0000
test Accuracy after query 135: 0.9364
Val Accuracy after query 140: 1.0000
test Accuracy after query 140: 0.9334
Val Accuracy after query 145: 1.0000
test Accuracy after query 145: 0.9398
Val Accuracy after query 150: 1.0000
test Accuracy after query 150: 0.9332
********** Test Accuracy per experiment: 0.9332 **********
********** Experiment 1 (var_ratios-MC_dropout=True): 0:27:5 **********
********** Experiment Iterations: 2/3 **********
X_init.shape:  (48, 1, 28, 28)
y_init.shape:  (48,)
Val Accuracy after query 5: 0.4100
test Accuracy after query 5: 0.4268
Val Accuracy after query 10: 0.5500
test Accuracy after query 10: 0.4510
Val Accuracy after query 15: 0.5800
test Accuracy after query 15: 0.5370
Val Accuracy after query 20: 0.6500
test Accuracy after query 20: 0.5908
Val Accuracy after query 25: 0.7500
test Accuracy after query 25: 0.6532
Val Accuracy after query 30: 0.8200
test Accuracy after query 30: 0.6792
Val Accuracy after query 35: 0.8700
test Accuracy after query 35: 0.7782
Val Accuracy after query 40: 0.8800
test Accuracy after query 40: 0.7890
Val Accuracy after query 45: 0.9100
test Accuracy after query 45: 0.8216
Val Accuracy after query 50: 0.9200
test Accuracy after query 50: 0.8322
Val Accuracy after query 55: 0.9400
test Accuracy after query 55: 0.8486
Val Accuracy after query 60: 0.9500
test Accuracy after query 60: 0.8566
Val Accuracy after query 65: 0.9600
test Accuracy after query 65: 0.8906
Val Accuracy after query 70: 0.9900
test Accuracy after query 70: 0.9066
Val Accuracy after query 75: 1.0000
test Accuracy after query 75: 0.9054
Val Accuracy after query 80: 1.0000
test Accuracy after query 80: 0.9150
Val Accuracy after query 85: 1.0000
test Accuracy after query 85: 0.9280
Val Accuracy after query 90: 1.0000
test Accuracy after query 90: 0.9198
Val Accuracy after query 95: 1.0000
test Accuracy after query 95: 0.9076
Val Accuracy after query 100: 1.0000
test Accuracy after query 100: 0.9188
Val Accuracy after query 105: 1.0000
test Accuracy after query 105: 0.9258
Val Accuracy after query 110: 1.0000
test Accuracy after query 110: 0.9186
Val Accuracy after query 115: 1.0000
test Accuracy after query 115: 0.9302
Val Accuracy after query 120: 1.0000
test Accuracy after query 120: 0.9254
Val Accuracy after query 125: 1.0000
test Accuracy after query 125: 0.9350
Val Accuracy after query 130: 1.0000
test Accuracy after query 130: 0.9342
Val Accuracy after query 135: 1.0000
test Accuracy after query 135: 0.9286
Val Accuracy after query 140: 1.0000
test Accuracy after query 140: 0.9350
Val Accuracy after query 145: 1.0000
test Accuracy after query 145: 0.9326
Val Accuracy after query 150: 1.0000
test Accuracy after query 150: 0.9334
********** Test Accuracy per experiment: 0.9334 **********
********** Experiment 2 (var_ratios-MC_dropout=True): 0:27:6 **********
********** Experiment Iterations: 3/3 **********
X_init.shape:  (48, 1, 28, 28)
y_init.shape:  (48,)
Val Accuracy after query 5: 0.4100
